title,description,location
Water leakage in hostel bathroom,Water leaking continuously for two days in hostel washroom,Hostel Block C
Electricity outage in hostel room,No power in room since morning and lights and fan are not working,Hostel Block A
Garbage not collected near hostel gate,Waste has been lying near gate for three days,Hostel Gate
Broken staircase railing,Safety issue railing broken in academic building staircase,Academic Building
Internet not working in hostel wifi,Hostel wifi not connecting since last night,Hostel Block B
Projector not working in classroom,Projector is not functioning during lecture,Classroom 204
Dirty washroom in hostel,Washroom is extremely dirty and not cleaned for three days,Hostel Block D
Water seepage in classroom ceiling,Water is dripping from classroom ceiling during rain,Academic Block
Street light not working near gate,The light near the main entry gate is not working,Main Gate
Mess food hygiene issue,Food area is dirty and needs inspection,Hostel Mess